student_id,study_hours,attendance,assignment_score,midterm_score,sleep_hours,participation_score,cgpa
STU1422,7.7,73.3,73.7,85.3,6.5,6.5,2.39
STU1423,8.6,83.2,80.3,47.0,8.3,3.2,2.73
STU1424,5.1,76.3,91.4,86.7,6.4,4.6,2.13
STU1425,7.4,80.3,78.0,71.3,6.9,4.5,3.06
STU1426,9.6,100.0,66.0,56.5,7.9,8.0,3.0
STU1427,14.2,80.3,85.1,64.4,8.9,7.8,3.0
STU1428,17.9,86.1,86.1,58.8,6.2,6.6,3.38
STU1429,5.5,79.7,83.2,83.3,6.8,3.0,2.75
STU1430,12.6,82.8,84.2,81.5,8.6,5.3,3.04
STU1431,6.8,82.1,73.0,49.7,5.3,4.4,2.04
STU1432,12.9,86.5,65.8,66.8,7.8,7.9,3.21
STU1433,10.5,93.7,66.4,60.8,5.8,8.6,2.82
STU1434,3.7,98.5,58.0,88.8,6.9,8.3,2.63
STU1435,14.7,85.1,78.6,54.4,6.6,4.3,2.74
STU1436,8.6,87.9,75.1,92.9,5.8,0.0,2.77
STU1437,8.9,70.5,71.2,71.6,5.8,2.1,2.2
STU1438,6.7,81.1,43.5,56.9,7.1,9.1,2.4
STU1439,8.4,91.4,62.3,63.2,7.8,5.1,2.62
STU1440,12.7,90.7,88.3,61.6,6.7,4.3,3.4
STU1441,10.2,84.1,68.7,55.4,6.9,9.6,3.13
STU1442,12.3,90.9,80.0,73.2,7.4,8.8,3.06
STU1443,12.4,86.9,60.7,56.0,5.8,6.1,2.85
STU1444,16.3,94.0,91.8,43.7,7.5,5.4,3.21
STU1445,9.6,84.9,74.4,67.1,7.6,5.7,2.92
STU1446,5.1,78.4,79.2,48.6,9.0,6.5,2.15
STU1447,15.3,85.4,100.0,62.2,6.4,9.5,3.1
STU1448,9.7,52.7,92.7,60.2,6.3,6.9,2.36
STU1449,15.5,85.8,72.6,60.7,7.6,7.6,2.99
STU1450,12.5,50.0,69.5,98.0,7.6,8.6,2.34
STU1451,10.5,64.8,72.4,72.7,6.3,3.4,2.05
STU1452,12.4,86.5,81.6,75.2,6.4,7.7,3.11
STU1453,18.8,86.8,74.8,48.9,7.3,5.4,3.67
STU1454,19.3,70.4,71.7,63.5,6.0,0.5,3.11
STU1455,11.3,74.9,92.1,74.8,6.4,1.3,2.93
STU1456,11.6,95.7,74.7,58.7,6.9,3.8,2.82
STU1457,15.3,77.2,100.0,83.8,7.8,7.2,3.1
STU1458,7.6,100.0,77.0,56.4,6.2,6.3,2.63
STU1459,12.3,82.0,95.6,68.3,5.0,6.4,2.8
STU1460,10.9,86.1,79.9,64.4,4.9,10.0,2.97
STU1461,12.3,98.2,86.6,74.1,5.5,3.2,3.12
STU1462,7.7,83.3,68.0,63.7,5.5,5.9,2.2
STU1463,4.6,72.0,66.6,68.5,6.6,6.7,1.87
STU1464,2.7,80.9,81.1,68.9,5.6,4.4,1.88
STU1465,6.5,81.6,86.9,62.5,6.1,6.1,2.55
STU1466,9.2,68.4,76.4,78.3,6.0,2.5,2.76
STU1467,9.8,79.4,61.8,75.1,6.4,9.1,2.9
STU1468,18.7,74.6,61.0,70.8,8.1,4.5,2.66
STU1469,15.4,91.2,60.3,66.4,7.5,10.0,3.48
STU1470,7.2,82.3,56.6,82.4,6.8,5.9,2.68
STU1471,12.4,79.2,77.2,68.9,6.3,8.3,2.5
STU1472,9.4,80.9,88.4,68.0,6.4,5.9,2.59
STU1473,9.9,84.2,75.9,73.4,7.1,5.9,2.95
STU1474,11.7,88.2,51.1,94.1,7.4,4.7,2.99
STU1475,13.5,72.0,73.9,54.6,5.9,6.3,2.41
STU1476,9.6,71.6,74.2,82.0,6.8,6.7,2.64
STU1477,15.3,93.0,99.1,47.4,4.8,4.3,2.74
STU1478,6.4,77.9,60.0,74.8,7.0,5.7,2.31
STU1479,11.0,67.8,71.7,92.5,7.6,4.7,2.75
STU1480,21.4,86.4,94.8,78.4,6.5,10.0,3.64
STU1481,11.9,86.6,80.9,74.2,8.6,5.8,2.78
STU1482,16.7,66.7,82.2,64.7,5.9,9.4,3.05
STU1483,11.4,84.3,77.3,72.4,7.0,5.6,3.03
STU1484,13.3,89.4,79.6,68.7,6.8,6.6,3.32
STU1485,10.8,85.7,84.6,61.8,6.7,3.1,2.95
STU1486,10.3,88.3,67.1,68.2,6.7,5.0,3.0
STU1487,7.9,68.0,85.7,74.6,6.9,6.5,2.5
STU1488,12.7,85.3,60.9,62.0,7.6,9.5,2.95
STU1489,7.6,79.0,79.6,61.5,8.2,6.5,2.47
STU1490,13.7,77.2,78.0,54.3,6.8,9.0,2.8
STU1491,15.3,90.7,69.2,77.1,7.6,7.4,2.96
STU1492,12.5,96.8,75.8,79.1,6.1,9.6,2.97
STU1493,9.9,99.9,69.2,75.0,7.6,5.9,2.93
STU1494,12.8,95.1,64.2,84.5,6.0,10.0,3.19
STU1495,9.8,80.9,72.1,73.1,7.9,4.9,2.91
STU1496,14.7,85.5,63.9,77.1,9.0,4.3,2.97
STU1497,3.7,89.7,79.6,75.9,6.7,3.3,2.61
STU1498,9.7,83.2,63.3,70.8,4.6,10.0,2.86
STU1499,3.0,83.3,83.8,65.1,6.3,7.8,2.24
STU1500,5.0,90.2,63.0,100.0,8.0,5.3,2.64
